id_customer,first_name,last_name,email,creation_date,update_time
34,Bent,Brake,bbrake1g@homestead.com,01-May-22,2022-06-08T00:55:00Z
1049,Carey,Fenner,cfennerms@reuters.com,19-May-22,2022-06-08T03:15:00Z
501,Neilla,Garthside,ngarthsidemu@baidu.com,10-May-22,2022-06-08T03:32:00Z
1271,Falito,Chapple,fchapplel2@nps.gov,23-May-22,2022-06-08T05:50:00Z
1143,Micki,Dublin,mdublin90@fc2.com,21-May-22,2022-06-08T07:50:00Z
455,Judith,Mourge,jmourgecd@apple.com,09-May-22,2022-06-08T08:51:00Z
437,Guntar,Boulter,gboulterim@amazonaws.com,09-May-22,2022-06-08T10:33:00Z
1414,Ariadne,Dawber,adawber5g@yellowpages.com,25-May-22,2022-06-08T14:58:00Z
154,Aimil,Trenholme,atrenholmeed@ted.com,04-May-22,2022-06-08T16:57:00Z
529,Saleem,Di Maggio,sdimaggio8u@ifeng.com,11-May-22,2022-06-08T17:45:00Z
1195,Tobin,Shallo,tshallo2m@hc360.com,22-May-22,2022-06-08T20:16:00Z
923,Dael,Brevetor,dbrevetorh8@marketwatch.com,17-May-22,2022-06-08T21:24:00Z
