id_customer,first_name,last_name,email,creation_date,update_time
1099,Hersh,Ivimey,hivimey5n@g.co,20-May-22,2022-06-22T01:12:00Z
1566,Bendicty,Quesne,bquesnekp@fda.gov,28-May-22,2022-06-22T01:22:00Z
508,Osmund,Ricci,oriccify@china.com.cn,10-May-22,2022-06-22T02:27:00Z
1252,Daryle,Englefield,denglefield3j@census.gov,23-May-22,2022-06-22T03:28:00Z
713,Barbette,Schimon,bschimonlb@myspace.com,14-May-22,2022-06-22T06:29:00Z
1343,Nalani,Lockner,nlocknerao@lulu.com,24-May-22,2022-06-22T10:32:00Z
542,Tabina,Cordner,tcordner8s@theguardian.com,11-May-22,2022-06-22T12:23:00Z
975,Lura,Scown,lscownds@spiegel.de,18-May-22,2022-06-22T15:19:00Z
411,Deidre,Clissett,dclissettcu@newsvine.com,08-May-22,2022-06-22T15:51:00Z
990,Ring,Lermouth,rlermouthj@reverbnation.com,19-May-22,2022-06-22T20:11:00Z
767,L;urette,Waldron,lwaldron6@netvibes.com,15-May-22,2022-06-22T22:07:00Z
