id_customer,first_name,last_name,email,creation_date,update_time
1212,Alleyn,Curmi,acurmi7e@mlb.com,22-May-22,2022-06-07T02:41:00Z
1629,Katuscha,Scurrell,kscurrell9j@networkadvertising.org,29-May-22,2022-06-07T03:51:00Z
890,Una,Mulqueen,umulqueencw@xinhuanet.com,17-May-22,2022-06-07T04:59:00Z
1239,Cherry,Tanslie,ctansliehr@techcrunch.com,22-May-22,2022-06-07T05:20:00Z
40,Codi,Greguol,cgreguolcw@163.com,02-May-22,2022-06-07T07:32:00Z
143,Vick,Mapston,vmapstonjv@multiply.com,03-May-22,2022-06-07T15:07:00Z
1654,Rochella,Buttwell,rbuttwellft@intel.com,30-May-22,2022-06-07T15:37:00Z
709,Arabelle,Beuscher,abeuscher94@jigsy.com,13-May-22,2022-06-07T18:05:00Z
711,Bancroft,Blampey,bblampey98@dot.gov,13-May-22,2022-06-07T18:26:00Z
1127,Koren,Middleditch,kmiddleditch48@bbc.co.uk,20-May-22,2022-06-07T19:53:00Z
789,Rosamund,Hordle,rhordleaf@imdb.com,15-May-22,2022-06-07T20:15:00Z
1063,Cyrus,Reims,creimsn7@bluehost.com,20-May-22,2022-06-07T21:02:00Z
988,Rabi,Mc Gorley,rmcgorleyn3@bigcartel.com,19-May-22,2022-06-07T23:47:00Z
