id_customer,first_name,last_name,email,creation_date,update_time
50,Dory,Chillcot,dchillcot1h@discuz.net,02-May-22,2022-06-27T00:56:00Z
1241,Conney,Base,cbasens@trellian.com,22-May-22,2022-06-27T02:17:00Z
1131,Lenci,Witcombe,lwitcombef9@bluehost.com,20-May-22,2022-06-27T05:52:00Z
1668,Victoria,Pattie,vpattiebn@vimeo.com,30-May-22,2022-06-27T10:54:00Z
13,Lin,Trudgeon,ltrudgeon5r@flickr.com,01-May-22,2022-06-27T12:09:00Z
331,Ricky,Blamphin,rblamphinx@adobe.com,07-May-22,2022-06-27T12:25:00Z
785,Randolph,Mahaddie,rmahaddiedf@comcast.net,15-May-22,2022-06-27T12:42:00Z
50,Dory,Chillcot,dchillcot1h@tinyurl.com,02-May-22,2022-06-27T13:29:00Z
488,Martyn,Edland,medland8q@com.com,10-May-22,2022-06-27T21:02:00Z
1323,Lucila,Forsdyke,lforsdykedz@narod.ru,24-May-22,2022-06-27T22:43:00Z
345,Syman,Wittier,swittierfi@about.com,07-May-22,2022-06-27T23:27:00Z
