id_customer,first_name,last_name,email,creation_date,update_time
370,Amalle,Speechly,aspeechly11@topsy.com,07-May-22,2022-06-11T00:40:00Z
798,Thorvald,Graybeal,tgraybealbn@nydailynews.com,15-May-22,2022-06-11T02:06:00Z
815,Ellswerth,Couchman,ecouchman5f@dropbox.com,15-May-22,2022-06-11T04:25:00Z
1458,Everard,Marney,emarneykl@1688.com,26-May-22,2022-06-11T05:54:00Z
344,Stefa,Hastie,shastie7f@usatoday.com,07-May-22,2022-06-11T08:08:00Z
625,Hayward,McPake,hmcpakefe@mozilla.org,12-May-22,2022-06-11T08:17:00Z
1476,Hilario,Golley,hgolleylo@hc360.com,27-May-22,2022-06-11T11:57:00Z
1630,Kirsteni,Arnaldi,karnaldiaf@answers.com,29-May-22,2022-06-11T14:58:00Z
202,Danya,Faulo,dfaulolt@columbia.edu,05-May-22,2022-06-11T17:45:00Z
1265,Elayne,Wrathmell,ewrathmelllp@rediff.com,23-May-22,2022-06-11T18:56:00Z
967,Kris,Bremmer,kbremmerag@sitemeter.com,18-May-22,2022-06-11T20:37:00Z
