id_customer,first_name,last_name,email,creation_date,update_time
766,Kristien,Folley,kfolleyb@loc.gov,15-May-22,2022-06-06T08:56:00Z
157,Alika,Cheke,achekeee@ebay.com,04-May-22,2022-06-06T11:41:00Z
1450,Durante,Pendrich,dpendrichb9@eventbrite.com,26-May-22,2022-06-06T11:49:00Z
1526,Quillan,Churms,qchurms74@instagram.com,27-May-22,2022-06-06T12:02:00Z
681,Sauveur,Stirley,sstirley5o@behance.net,13-May-22,2022-06-06T12:27:00Z
500,Nancie,Pearmine,npearmine27@telegraph.co.uk,10-May-22,2022-06-06T15:31:00Z
541,Stinky,Bushell,sbushell5k@live.com,11-May-22,2022-06-06T19:43:00Z
660,Melania,Reisenstein,mreisensteinfw@cocolog-nifty.com,13-May-22,2022-06-06T19:59:00Z
1408,Alameda,Poone,apoone36@google.com,25-May-22,2022-06-06T21:24:00Z
1059,Cross,Jakab,cjakaben@paypal.com,20-May-22,2022-06-06T22:31:00Z
