id_customer,first_name,last_name,email,creation_date,update_time
748,Genvieve,Bruford,gbrufordi6@wix.com,14-May-22,2022-06-13T02:36:00Z
1367,Sayres,Jablonski,sjablonski9m@wikia.com,25-May-22,2022-06-13T05:03:00Z
1033,Ashil,Mettrick,amettrickl9@pagesperso-orange.fr,19-May-22,2022-06-13T05:32:00Z
696,Tiebold,McKimmey,tmckimmeyk4@timesonline.co.uk,13-May-22,2022-06-13T05:39:00Z
243,Halsy,Simao,hsimaoef@aol.com,05-May-22,2022-06-13T07:29:00Z
496,Michel,Sains,msains2a@a8.net,10-May-22,2022-06-13T07:59:00Z
136,Tomi,Gamlyn,tgamlynac@delicious.com,03-May-22,2022-06-13T08:37:00Z
1528,Rafaela,Tennant,rtennant7z@patch.com,27-May-22,2022-06-13T09:11:00Z
710,Arabelle,Beautyman,abeautymanhd@homestead.com,13-May-22,2022-06-13T10:07:00Z
328,Reena,Burkett,rburkett8y@springer.com,07-May-22,2022-06-13T16:48:00Z
118,Phil,Stranks,pstranks8m@lulu.com,03-May-22,2022-06-13T18:08:00Z
994,Shae,Madgewick,smadgewick2d@japanpost.jp,19-May-22,2022-06-13T18:47:00Z
171,Berny,Ropartz,bropartzin@amazon.co.jp,04-May-22,2022-06-13T21:48:00Z
1001,Theo,Waterstone,twaterstone5b@themeforest.net,19-May-22,2022-06-13T22:10:00Z
