id_customer,first_name,last_name,email,creation_date,update_time
399,Caspar,Pedroli,cpedrolibx@facebook.com,08-May-22,2022-06-04T04:40:00Z
1424,Brennan,Cristoferi,bcristoferi7r@virginia.edu,26-May-22,2022-06-04T06:11:00Z
934,Enos,Ramshaw,eramshaw76@networksolutions.com,18-May-22,2022-06-04T06:50:00Z
1144,Midge,Trotton,mtrottonkk@indiegogo.com,21-May-22,2022-06-04T10:56:00Z
1029,Ardra,Danielsky,adanielskyfh@cnbc.com,19-May-22,2022-06-04T11:54:00Z
350,Tilda,Belf,tbelf74@storify.com,07-May-22,2022-06-04T13:19:00Z
722,Brittany,Nutbeem,bnutbeem6s@fastcompany.com,14-May-22,2022-06-04T16:45:00Z
1485,Kamilah,Wintle,kwintle5p@pen.io,27-May-22,2022-06-04T17:15:00Z
1101,Holly,Oven,hovenei@homestead.com,20-May-22,2022-06-04T20:13:00Z
1473,Harriot,Gregoriou,hgregoriou1s@baidu.com,26-May-22,2022-06-04T20:57:00Z
448,Janice,Peachman,jpeachmanah@auda.org.au,09-May-22,2022-06-04T21:12:00Z
