id_customer,first_name,last_name,email,creation_date,update_time
283,Lenci,Etuck,letuckbo@weebly.com,06-May-22,2022-06-02T03:29:00Z
38,Caye,Burrage,cburrageek@wiley.com,01-May-22,2022-06-02T04:32:00Z
1129,Laina,Beccles,lbecclesle@admin.ch,20-May-22,2022-06-02T08:28:00Z
1012,Adena,Meaney,ameaneyw@nytimes.com,19-May-22,2022-06-02T09:56:00Z
58,Erny,Lambie,elambiegc@oaic.gov.au,02-May-22,2022-06-02T11:30:00Z
596,Cristie,O'Crigan,cocrigan5v@mayoclinic.com,12-May-22,2022-06-02T16:38:00Z
1592,Eleonore,Gilford,egilforde9@sitemeter.com,28-May-22,2022-06-02T19:45:00Z
369,Alyssa,Younghusband,ayounghusband7y@hc360.com,07-May-22,2022-06-02T21:19:00Z
1564,Barbabas,Kibble,bkibble44@yahoo.co.jp,28-May-22,2022-06-02T23:43:00Z
584,Chaunce,Scudders,chaunce.scuddersmm@jdevoteamgcloud.com,12-May-22,2022-06-01T13:27:00Z
