id_customer,first_name,last_name,email,creation_date,update_time
276,Korry,Van de Castele,kvandecastele9e@xinhuanet.com,06-May-22,2022-06-16T12:11:00Z
1056,Cesya,Guitt,cguitt5x@bigcartel.com,20-May-22,2022-06-16T13:01:00Z
1294,Janela,Chamney,jchamneylu@seattletimes.com,23-May-22,2022-06-16T14:02:00Z
515,Pierce,Daborne,pdabornemp@nifty.com,10-May-22,2022-06-16T14:55:00Z
1535,Rosabel,Hannant,rhannant9@netvibes.com,27-May-22,2022-06-16T15:50:00Z
850,Willamina,Faiers,wfaiersfp@mayoclinic.com,16-May-22,2022-06-16T16:20:00Z
154,Aimil,Trenholme,atrenholmeed@tiny.cc,04-May-22,2022-06-16T17:23:00Z
166,Annis,McGiven,amcgiven8z@netvibes.com,04-May-22,2022-06-16T20:25:00Z
1515,Nikolia,Power,npower8i@dmoz.org,27-May-22,2022-06-16T20:37:00Z
1036,Baron,Thies,bthiesko@multiply.com,19-May-22,2022-06-16T22:17:00Z
